iter	RMSE
0	26.7206396
1	26.16344321
2	25.50582395
3	24.86320815
4	24.3201563
5	23.73949856
6	23.11401734
7	22.5590363
8	22.09983741
9	21.6379896
10	21.23458951
11	20.73726441
12	20.21197159
13	19.75074907
14	19.26062873
15	18.81194736
16	18.46392043
17	18.05284143
18	17.7392426
19	17.36374013
20	16.99638734
21	16.64421912
22	16.33658451
23	16.00286343
24	15.64338607
25	15.3905602
26	15.09322605
27	14.80468637
28	14.53177011
29	14.31962555
30	14.05029071
31	13.80322237
32	13.61339884
33	13.38182439
34	13.20242262
35	12.93769287
36	12.73130422
37	12.53233098
38	12.34234069
39	12.1575191
40	12.0116034
41	11.79206097
42	11.63096076
43	11.43289563
44	11.23540376
45	11.09514335
46	10.94953917
47	10.77298137
48	10.60340824
49	10.47802984
50	10.32420238
51	10.17358069
52	10.01869462
53	9.907783488
54	9.756848345
55	9.628991835
56	9.494768149
57	9.393414288
58	9.306156659
59	9.197668671
60	9.086378529
61	8.973175188
62	8.902643345
63	8.807960558
64	8.734829599
65	8.676720577
66	8.615382255
67	8.532786985
68	8.448345714
69	8.366695767
70	8.293859663
71	8.231693527
72	8.177453688
73	8.097172315
74	8.060100663
75	8.010229509
76	7.928965137
77	7.841051213
78	7.750128309
79	7.68581572
80	7.649212481
81	7.587536412
82	7.543426074
83	7.492497784
84	7.442194844
85	7.377593199
86	7.307912427
87	7.263202584
88	7.235423329
89	7.201274842
90	7.165803514
91	7.12585504
92	7.070232652
93	7.048697045
94	7.009584074
95	6.980823542
96	6.939454041
97	6.894847535
98	6.844223867
99	6.797942213
100	6.742538283
101	6.703587306
102	6.669122556
103	6.628454241
104	6.601856132
105	6.553525105
106	6.501048669
107	6.458267946
108	6.431807472
109	6.412604193
110	6.371518017
111	6.347634934
112	6.307557558
113	6.276177769
114	6.24744861
115	6.207139643
116	6.182550983
117	6.156983122
118	6.141720043
119	6.107693538
120	6.091717638
121	6.054564049
122	6.035672511
123	6.022482885
124	5.998747992
125	5.981226587
126	5.963990983
127	5.946758906
128	5.941388156
129	5.920971918
130	5.903209408
131	5.88822392
132	5.876132597
133	5.837975721
134	5.813635958
135	5.80460282
136	5.780962718
137	5.76564463
138	5.743778664
139	5.72362458
140	5.707397251
141	5.678146977
142	5.665558078
143	5.644484988
144	5.627982572
145	5.602289745
146	5.594007118
147	5.566739331
148	5.559076061
149	5.544352738
150	5.527536728
151	5.504095921
152	5.497672634
153	5.485091916
154	5.470442672
155	5.453433185
156	5.440838251
157	5.426524865
158	5.409861273
159	5.394858571
160	5.385122464
161	5.370658412
162	5.360943398
163	5.342817962
164	5.326321655
165	5.312318172
166	5.297144171
167	5.283325946
168	5.272973357
169	5.260795601
170	5.249231501
171	5.230793015
172	5.220945662
173	5.201249073
174	5.189366306
175	5.17801599
176	5.163496654
177	5.147561938
178	5.126202945
179	5.113583667
180	5.108493622
181	5.098044759
182	5.087262527
183	5.078990506
184	5.064067862
185	5.04669108
186	5.039881564
187	5.034572448
188	5.018518262
189	5.012734925
190	5.009507961
191	5.004121276
192	5.001979977
193	4.991512081
194	4.985300047
195	4.972749032
196	4.951071377
197	4.940881331
198	4.935249884
199	4.925970482
200	4.91647207
201	4.910115569
202	4.902951284
203	4.893175102
204	4.886109837
205	4.875221496
206	4.865491084
207	4.85541195
208	4.85113817
209	4.839566553
210	4.833681914
211	4.828228693
212	4.826291239
213	4.818546923
214	4.809957874
215	4.802733329
216	4.794911807
217	4.78826421
218	4.78140327
219	4.774599689
220	4.762142643
221	4.750589615
222	4.736103731
223	4.729642808
224	4.71742952
225	4.711316799
226	4.708396346
227	4.702168647
228	4.690384681
229	4.68462132
230	4.681002062
231	4.67459036
232	4.672633471
233	4.664132039
234	4.661766431
235	4.657615289
236	4.648509494
237	4.638094611
238	4.632012184
239	4.626270993
240	4.618812777
241	4.608288524
242	4.601174029
243	4.595887738
244	4.588479519
245	4.584682374
246	4.578427814
247	4.570199702
248	4.561790782
249	4.557357147
250	4.551767381
251	4.54096618
252	4.526221105
253	4.519559159
254	4.5151822
255	4.507243892
256	4.503699995
257	4.500600128
258	4.489174522
259	4.487012898
260	4.483137811
261	4.47826874
262	4.476742473
263	4.459396382
264	4.456114513
265	4.451804089
266	4.44818895
267	4.444568524
268	4.439773357
269	4.434835578
270	4.430459233
271	4.425166368
272	4.419222683
273	4.412586964
274	4.399390277
275	4.396080271
276	4.386694809
277	4.386388293
278	4.383491607
279	4.365786861
280	4.362312974
281	4.356902545
282	4.349729996
283	4.345976213
284	4.343245916
285	4.330969916
286	4.327077147
287	4.325092224
288	4.319937273
289	4.314445614
290	4.31120336
291	4.302481656
292	4.293699531
293	4.288930903
294	4.286029083
295	4.282999274
296	4.280962227
297	4.277207035
298	4.275396879
299	4.263216881
300	4.261124825
301	4.256053103
302	4.247483472
303	4.244224931
304	4.239336071
305	4.232532973
306	4.224486899
307	4.222853219
308	4.219662096
309	4.21733086
310	4.214280655
311	4.210563334
312	4.201097408
313	4.19820363
314	4.195048319
315	4.192005492
316	4.184550771
317	4.181580643
318	4.177577615
319	4.171911152
320	4.165924157
321	4.161425694
322	4.158486888
323	4.155625348
324	4.14938297
325	4.148212519
326	4.135075526
327	4.131082991
328	4.122676139
329	4.117936638
330	4.101869462
331	4.085417867
332	4.081647049
333	4.078627308
334	4.075387754
335	4.073692977
336	4.063127006
337	4.060798897
338	4.057807127
339	4.052852254
340	4.052368317
341	4.043520226
342	4.040871763
343	4.037634841
344	4.036243367
345	4.034158473
346	4.031820736
347	4.026477878
348	4.024295695
349	4.015891184
350	4.012811851
351	4.008822374
352	4.005510614
353	3.999827522
354	3.99479525
355	3.993490122
356	3.987822454
357	3.987004838
358	3.981929715
359	3.974716407
360	3.970564621
361	3.967755547
362	3.965620433
363	3.963396444
364	3.961496876
365	3.958419284
366	3.954278375
367	3.946610809
368	3.945281192
369	3.942194835
370	3.933887202
371	3.928821589
372	3.92311077
373	3.921272781
374	3.920227579
375	3.914576426
376	3.909572465
377	3.909407415
378	3.906180095
379	3.901703491
380	3.899093594
381	3.897341522
382	3.895058112
383	3.892794766
384	3.890038946
385	3.88593989
386	3.87909233
387	3.876592487
388	3.868800939
389	3.865871702
390	3.864374253
391	3.859386021
392	3.857344018
393	3.854451822
394	3.852343993
395	3.851258712
396	3.848977228
397	3.848189569
398	3.846683988
399	3.843389112
400	3.834603538
401	3.830480745
402	3.828878606
403	3.82619834
404	3.824255138
405	3.82207893
406	3.820145677
407	3.818244986
408	3.81581166
409	3.815400856
410	3.813971982
411	3.812160447
412	3.807875233
413	3.806661728
414	3.804342312
415	3.797269679
416	3.796480766
417	3.792476363
418	3.791790259
419	3.790496125
420	3.785484085
421	3.784071529
422	3.782665142
423	3.782460656
424	3.780652235
425	3.778204655
426	3.776360515
427	3.774376296
428	3.774310315
429	3.773513091
430	3.772584199
431	3.771893541
432	3.770700405
433	3.768952719
434	3.766099447
435	3.764344766
436	3.761915428
437	3.761127474
438	3.759299576
439	3.758021041
440	3.757306418
441	3.755786107
442	3.751899493
443	3.749975771
444	3.748641616
445	3.747298007
446	3.746377844
447	3.744828021
448	3.74432194
449	3.743755303
450	3.740751773
451	3.739091787
452	3.737984769
453	3.737285047
454	3.736779865
455	3.735405371
456	3.734353017
457	3.733520359
458	3.732783838
459	3.7323307
460	3.730580583
461	3.730104505
462	3.729056342
463	3.727172056
464	3.726724513
465	3.724152731
466	3.723032036
467	3.722373909
468	3.716469198
469	3.715061687
470	3.707814555
471	3.706204116
472	3.704864859
473	3.703133736
474	3.69722396
475	3.697139142
476	3.694462463
477	3.693832211
478	3.692351921
479	3.691243569
480	3.690106501
481	3.689718828
482	3.683414603
483	3.682756437
484	3.682371743
485	3.680217442
486	3.679695122
487	3.674852505
488	3.673758801
489	3.672600008
490	3.67147785
491	3.669460719
492	3.669196431
493	3.668176975
494	3.667455944
495	3.666763458
496	3.665942475
497	3.664607243
498	3.657566379
499	3.654713856
500	3.649656368
501	3.649181704
502	3.647643655
503	3.64231673
504	3.641514993
505	3.64009058
506	3.639701201
507	3.638856231
508	3.637450899
509	3.635383747
510	3.634629669
511	3.633657182
512	3.633253303
513	3.632155528
514	3.624398449
515	3.623818787
516	3.617380664
517	3.616118314
518	3.615584519
519	3.615180492
520	3.613677151
521	3.61294689
522	3.612480757
523	3.611474713
524	3.611027261
525	3.610107968
526	3.609711519
527	3.609303014
528	3.608226822
529	3.607589376
530	3.606525836
531	3.60589304
532	3.605064814
533	3.604619318
534	3.604025255
535	3.602960907
536	3.602627075
537	3.599719282
538	3.598742657
539	3.598596518
540	3.596889833
541	3.595285096
542	3.591275571
543	3.589881447
544	3.583462144
545	3.582494179
546	3.580582307
547	3.579934836
548	3.579559796
549	3.578795859
550	3.578490176
551	3.577669611
552	3.576752799
553	3.575296093
554	3.574995673
555	3.573813594
556	3.572182805
557	3.570606731
558	3.567687467
559	3.566612173
560	3.566181668
561	3.565970194
562	3.561095038
563	3.560316377
564	3.56014652
565	3.557248073
566	3.555992762
567	3.555696159
568	3.554431512
569	3.554185822
570	3.554109405
571	3.553946974
572	3.553361452
573	3.553163516
574	3.552649351
575	3.551599514
576	3.548265331
577	3.547631502
578	3.547446781
579	3.547043442
580	3.544262507
581	3.540439699
582	3.538255774
583	3.537040513
584	3.531651817
585	3.530895651
586	3.529538153
587	3.527698334
588	3.523924736
589	3.523430861
590	3.523220326
591	3.523189908
592	3.522854983
593	3.52281123
594	3.522684494
595	3.522253727
596	3.522097206
597	3.520960343
598	3.519278717
599	3.518541239
600	3.51781385
601	3.517454429
602	3.517377708
603	3.51704313
604	3.516323409
605	3.51582465
606	3.514643547
607	3.514258183
608	3.514130467
609	3.513129374
610	3.510488357
611	3.505841983
612	3.505141684
613	3.504795312
614	3.503382807
615	3.501162345
616	3.500990796
617	3.500332872
618	3.499371298
619	3.499110708
620	3.496086257
621	3.495605198
622	3.493735609
623	3.493158897
624	3.491787812
625	3.487434576
626	3.486918602
627	3.486806956
628	3.486304876
629	3.483571201
630	3.48300435
631	3.482647677
632	3.482603855
633	3.48256911
634	3.482272596
635	3.482033543
636	3.481634184
637	3.481072073
638	3.480401454
639	3.480148502
640	3.479021436
641	3.476207972
642	3.474999544
643	3.468002166
644	3.467530145
645	3.465277764
646	3.462930066
647	3.461836721
648	3.460638007
649	3.4597186
650	3.459070295
651	3.45896259
652	3.458707189
653	3.458371349
654	3.458117123
655	3.457860309
656	3.457600493
657	3.457046682
658	3.454845601
659	3.454576871
660	3.454296046
661	3.453708992
662	3.453163045
663	3.452223426
664	3.452059989
665	3.450995824
666	3.450730671
667	3.450481235
668	3.450130403
669	3.44808694
670	3.445998972
671	3.443844111
672	3.441733158
673	3.441599353
674	3.441527522
675	3.441277367
676	3.440436308
677	3.440207546
678	3.439857672
679	3.438439119
680	3.437313171
681	3.437265247
682	3.432362244
683	3.431054578
684	3.430079672
685	3.429095055
686	3.42896179
687	3.422095537
688	3.420965003
689	3.418076709
690	3.417869111
691	3.416993776
692	3.416762156
693	3.41660101
694	3.414428401
695	3.41428506
696	3.413076705
697	3.412510811
698	3.410598493
699	3.407424945
700	3.407011039
701	3.406762467
702	3.405941656
703	3.404959538
704	3.403558787
705	3.403168929
706	3.398907906
707	3.397961771
708	3.397625933
709	3.3967794
710	3.395811227
711	3.395558274
712	3.394670794
713	3.393572887
714	3.391481495
715	3.391143052
716	3.390362713
717	3.389220337
718	3.388311399
719	3.388264431
720	3.387675303
721	3.387379173
722	3.386913579
723	3.386879557
724	3.386759844
725	3.386103704
726	3.383713778
727	3.377527119
728	3.377363336
729	3.37702959
730	3.376459031
731	3.376087975
732	3.375257095
733	3.374869092
734	3.373137658
735	3.372665418
736	3.372609793
737	3.372578605
738	3.371875285
739	3.371767574
740	3.368348313
741	3.362018206
742	3.361686738
743	3.361442545
744	3.358842466
745	3.358285951
746	3.357995822
747	3.35551131
748	3.355438839
749	3.354494299
750	3.354316911
751	3.353736181
752	3.353542354
753	3.353477485
754	3.353204893
755	3.353171866
756	3.351138621
757	3.350689119
758	3.349933499
759	3.3497623
760	3.349294824
761	3.347380512
762	3.347306254
763	3.347283752
764	3.344343156
765	3.344018429
766	3.343028554
767	3.343000051
768	3.340569409
769	3.3404073
770	3.339362962
771	3.3384911
772	3.338034346
773	3.337093514
774	3.336483185
775	3.336422645
776	3.336170208
777	3.336077611
778	3.33596328
779	3.332659938
780	3.332453024
781	3.332435645
782	3.331221176
783	3.330747796
784	3.32985652
785	3.329752952
786	3.328723555
787	3.327848449
788	3.327499892
789	3.324223852
790	3.32194521
791	3.321739444
792	3.32151692
793	3.320899623
794	3.318385206
795	3.318159937
796	3.317806423
797	3.316015701
798	3.31536913
799	3.315198852
800	3.315030258
801	3.314788122
802	3.314294371
803	3.313816359
804	3.313406846
805	3.312796088
806	3.311823447
807	3.306771023
808	3.30640974
809	3.306397182
810	3.306212966
811	3.305379639
812	3.303725974
813	3.30321031
814	3.301429493
815	3.301311924
816	3.299221411
817	3.297163066
818	3.296729776
819	3.294167674
820	3.292646833
821	3.291387239
822	3.291010527
823	3.290664488
824	3.284186207
825	3.283910888
826	3.282578276
827	3.280785751
828	3.280350873
829	3.278437506
830	3.278269945
831	3.276731994
832	3.276630034
833	3.275236418
834	3.274248425
835	3.27413496
836	3.274050591
837	3.273955283
838	3.269787962
839	3.269241668
840	3.269102733
841	3.264617373
842	3.260920595
843	3.259739952
844	3.259476167
845	3.259382921
846	3.25828155
847	3.258184227
848	3.258093378
849	3.257902772
850	3.254602068
851	3.254436403
852	3.252025275
853	3.251913526
854	3.251381798
855	3.25119816
856	3.247348997
857	3.24711005
858	3.24698665
859	3.246928728
860	3.244326653
861	3.243424569
862	3.242105249
863	3.24200417
864	3.241841807
865	3.241586515
866	3.241164496
867	3.240835445
868	3.240638663
869	3.23986189
870	3.239650112
871	3.239591593
872	3.239501265
873	3.237993978
874	3.237051123
875	3.235279344
876	3.233305156
877	3.233189954
878	3.231968159
879	3.230639431
880	3.230340669
881	3.228744064
882	3.228569673
883	3.22844567
884	3.22838577
885	3.226539174
886	3.225153331
887	3.224801713
888	3.224486825
889	3.222771983
890	3.220532863
891	3.220494985
892	3.217771922
893	3.213573865
894	3.213485576
895	3.213238547
896	3.211179097
897	3.21064515
898	3.210373124
899	3.208707815
900	3.208481362
901	3.20785191
902	3.207775068
903	3.207716545
904	3.203301179
905	3.203091222
906	3.199170054
907	3.198871542
908	3.198803011
909	3.197905306
910	3.196766173
911	3.193227402
912	3.189295064
913	3.188174338
914	3.187374753
915	3.186959183
916	3.186695442
917	3.186404292
918	3.186317905
919	3.186179613
920	3.184603209
921	3.184317601
922	3.183847277
923	3.183560427
924	3.181981024
925	3.1814931
926	3.181143969
927	3.179753386
928	3.177449703
929	3.177287244
930	3.176908186
931	3.176591744
932	3.172498868
933	3.171672613
934	3.169466992
935	3.168018705
936	3.167292978
937	3.167227123
938	3.166221945
939	3.164480942
940	3.164368197
941	3.164236775
942	3.163907108
943	3.163787318
944	3.156950914
945	3.155412818
946	3.15447919
947	3.153756615
948	3.153618935
949	3.152744664
950	3.15172521
951	3.151436644
952	3.15120566
953	3.151048424
954	3.150956365
955	3.149579601
956	3.149502427
957	3.148811718
958	3.148787296
959	3.148745905
960	3.147957218
961	3.147267692
962	3.147246127
963	3.145956237
964	3.145556205
965	3.145361048
966	3.144438061
967	3.143399368
968	3.14315293
969	3.138344087
970	3.137921552
971	3.137703242
972	3.137549168
973	3.137472113
974	3.136308806
975	3.135886542
976	3.134735689
977	3.133973621
978	3.132685708
979	3.131819117
980	3.130525051
981	3.127898124
982	3.127781923
983	3.125356785
984	3.123867299
985	3.123588678
986	3.122993314
987	3.122376736
988	3.12073895
989	3.119031701
990	3.118711378
991	3.112855382
992	3.107280925
993	3.107081378
994	3.106596484
995	3.106539555
996	3.102370943
997	3.102022953
998	3.101879893
999	3.100152008
