iter	Passed	Remaining
0	77	77810
1	98	49106
2	113	37838
3	121	30286
4	138	27581
5	153	25447
6	168	23922
7	183	22781
8	200	22050
9	215	21338
10	231	20769
11	246	20277
12	261	19860
13	276	19476
14	293	19294
15	310	19095
16	326	18905
17	343	18717
18	360	18608
19	376	18463
20	393	18325
21	408	18175
22	425	18077
23	441	17940
24	456	17804
25	472	17707
26	488	17593
27	505	17550
28	522	17499
29	548	17731
30	568	17755
31	584	17679
32	601	17640
33	621	17644
34	638	17600
35	654	17531
36	666	17342
37	681	17248
38	696	17161
39	712	17092
40	730	17077
41	747	17046
42	764	17020
43	780	16967
44	797	16918
45	813	16880
46	829	16817
47	845	16760
48	860	16699
49	875	16643
50	891	16597
51	907	16537
52	923	16501
53	940	16470
54	957	16454
55	974	16428
56	991	16404
57	1009	16390
58	1025	16353
59	1041	16311
60	1056	16270
61	1072	16220
62	1087	16176
63	1103	16131
64	1118	16093
65	1139	16123
66	1160	16157
67	1179	16169
68	1199	16185
69	1220	16215
70	1239	16212
71	1260	16243
72	1278	16233
73	1296	16220
74	1315	16230
75	1331	16183
76	1348	16164
77	1366	16148
78	1383	16126
79	1400	16105
80	1418	16094
81	1436	16077
82	1452	16047
83	1467	16006
84	1482	15961
85	1498	15926
86	1514	15888
87	1529	15856
88	1544	15813
89	1562	15794
90	1578	15770
91	1597	15763
92	1618	15781
93	1635	15759
94	1651	15733
95	1667	15697
96	1682	15660
97	1697	15620
98	1712	15587
99	1728	15553
100	1743	15521
101	1759	15488
102	1775	15466
103	1792	15440
104	1809	15426
105	1826	15401
106	1843	15381
107	1860	15364
108	1881	15376
109	1896	15345
110	1912	15313
111	1927	15278
112	1942	15246
113	1958	15223
114	1976	15211
115	1999	15237
116	2017	15226
117	2035	15212
118	2051	15189
119	2070	15184
120	2086	15158
121	2102	15127
122	2117	15095
123	2133	15069
124	2147	15034
125	2162	15000
126	2177	14966
127	2194	14949
128	2210	14925
129	2226	14900
130	2245	14895
131	2254	14825
132	2270	14803
133	2287	14781
134	2302	14753
135	2317	14724
136	2332	14694
137	2347	14662
138	2362	14633
139	2377	14602
140	2392	14572
141	2411	14571
142	2428	14554
143	2445	14539
144	2462	14519
145	2479	14500
146	2496	14487
147	2512	14461
148	2527	14435
149	2542	14407
150	2553	14357
151	2568	14327
152	2583	14300
153	2598	14275
154	2614	14254
155	2631	14237
156	2647	14216
157	2664	14200
158	2680	14180
159	2697	14162
160	2713	14138
161	2728	14111
162	2743	14085
163	2758	14059
164	2772	14032
165	2787	14004
166	2803	13984
167	2820	13969
168	2836	13949
169	2853	13931
170	2870	13915
171	2886	13896
172	2903	13877
173	2918	13854
174	2933	13828
175	2948	13803
176	2962	13776
177	2977	13750
178	2992	13727
179	3008	13704
180	3025	13689
181	3041	13668
182	3057	13650
183	3074	13632
184	3089	13612
185	3106	13594
186	3121	13571
187	3137	13552
188	3152	13528
189	3163	13487
190	3178	13462
191	3193	13438
192	3208	13414
193	3218	13371
194	3234	13351
195	3250	13333
196	3270	13332
197	3289	13322
198	3307	13312
199	3324	13299
200	3340	13279
201	3355	13255
202	3369	13230
203	3386	13212
204	3400	13188
205	3416	13169
206	3433	13154
207	3449	13136
208	3466	13121
209	3483	13104
210	3500	13088
211	3516	13070
212	3531	13048
213	3546	13026
214	3558	12990
215	3572	12967
216	3587	12944
217	3602	12921
218	3617	12899
219	3635	12887
220	3651	12870
221	3668	12856
222	3686	12843
223	3702	12826
224	3720	12813
225	3735	12791
226	3750	12771
227	3765	12749
228	3780	12728
229	3795	12706
230	3810	12684
231	3827	12668
232	3843	12651
233	3860	12635
234	3871	12603
235	3884	12575
236	3901	12559
237	3917	12542
238	3933	12523
239	3948	12502
240	3963	12481
241	3978	12461
242	3993	12440
243	4008	12418
244	4023	12398
245	4040	12384
246	4056	12366
247	4073	12352
248	4089	12334
249	4106	12319
250	4123	12303
251	4140	12288
252	4155	12268
253	4169	12247
254	4184	12225
255	4199	12205
256	4214	12184
257	4229	12164
258	4247	12153
259	4268	12148
260	4289	12144
261	4305	12126
262	4321	12109
263	4337	12093
264	4353	12073
265	4369	12056
266	4385	12038
267	4400	12018
268	4415	11999
269	4431	11981
270	4447	11963
271	4464	11947
272	4480	11932
273	4497	11916
274	4513	11900
275	4530	11885
276	4550	11876
277	4565	11857
278	4580	11838
279	4597	11821
280	4612	11801
281	4627	11782
282	4643	11764
283	4658	11744
284	4675	11728
285	4691	11713
286	4709	11699
287	4725	11682
288	4743	11669
289	4760	11654
290	4776	11637
291	4792	11619
292	4807	11600
293	4822	11580
294	4837	11561
295	4852	11542
296	4867	11521
297	4883	11504
298	4899	11487
299	4917	11473
300	4933	11457
301	4950	11440
302	4967	11426
303	4983	11408
304	4998	11389
305	5013	11371
306	5028	11351
307	5043	11331
308	5058	11311
309	5072	11291
310	5089	11274
311	5105	11257
312	5121	11241
313	5139	11228
314	5155	11211
315	5172	11196
316	5191	11184
317	5206	11165
318	5221	11146
319	5235	11126
320	5250	11106
321	5265	11086
322	5280	11067
323	5296	11050
324	5312	11033
325	5328	11017
326	5345	11000
327	5361	10984
328	5381	10976
329	5397	10959
330	5413	10941
331	5429	10923
332	5443	10904
333	5458	10885
334	5474	10866
335	5489	10848
336	5506	10833
337	5522	10817
338	5539	10800
339	5554	10782
340	5570	10766
341	5587	10750
342	5603	10733
343	5618	10714
344	5634	10697
345	5650	10679
346	5664	10660
347	5680	10642
348	5695	10623
349	5714	10612
350	5730	10595
351	5747	10580
352	5764	10565
353	5780	10548
354	5797	10533
355	5813	10515
356	5828	10497
357	5843	10479
358	5858	10459
359	5872	10440
360	5887	10422
361	5903	10404
362	5918	10385
363	5934	10369
364	5951	10353
365	5967	10337
366	5983	10320
367	6000	10304
368	6019	10293
369	6036	10278
370	6054	10265
371	6069	10246
372	6084	10227
373	6099	10209
374	6114	10190
375	6131	10175
376	6148	10160
377	6164	10144
378	6180	10127
379	6198	10113
380	6214	10096
381	6230	10080
382	6246	10062
383	6261	10043
384	6275	10024
385	6290	10006
386	6306	9989
387	6324	9975
388	6342	9961
389	6359	9946
390	6376	9931
391	6393	9915
392	6409	9899
393	6426	9885
394	6448	9876
395	6463	9859
396	6481	9844
397	6497	9827
398	6515	9813
399	6531	9797
400	6548	9781
401	6565	9766
402	6581	9750
403	6598	9734
404	6614	9718
405	6631	9702
406	6647	9686
407	6663	9668
408	6678	9649
409	6693	9631
410	6708	9613
411	6722	9594
412	6738	9577
413	6754	9561
414	6770	9544
415	6787	9528
416	6803	9512
417	6819	9495
418	6836	9479
419	6852	9463
420	6868	9445
421	6882	9427
422	6897	9408
423	6913	9392
424	6929	9374
425	6944	9356
426	6959	9339
427	6976	9323
428	6992	9307
429	7010	9292
430	7026	9275
431	7042	9259
432	7059	9243
433	7074	9226
434	7090	9209
435	7104	9190
436	7119	9172
437	7134	9154
438	7149	9135
439	7164	9118
440	7181	9102
441	7198	9088
442	7224	9083
443	7247	9075
444	7266	9062
445	7282	9046
446	7298	9029
447	7313	9011
448	7328	8993
449	7343	8975
450	7358	8957
451	7378	8945
452	7399	8934
453	7421	8925
454	7440	8911
455	7456	8895
456	7472	8878
457	7487	8860
458	7501	8842
459	7516	8823
460	7531	8805
461	7546	8787
462	7560	8769
463	7575	8751
464	7592	8735
465	7608	8719
466	7625	8703
467	7641	8686
468	7661	8674
469	7677	8657
470	7694	8641
471	7708	8623
472	7723	8605
473	7738	8587
474	7753	8570
475	7768	8551
476	7785	8536
477	7805	8523
478	7822	8508
479	7839	8493
480	7855	8476
481	7872	8460
482	7888	8443
483	7904	8427
484	7919	8409
485	7935	8392
486	7950	8374
487	7965	8357
488	7979	8339
489	7994	8321
490	8010	8303
491	8026	8287
492	8042	8271
493	8059	8254
494	8075	8238
495	8091	8221
496	8107	8205
497	8123	8188
498	8138	8171
499	8154	8154
